Time, Counts, Altitude (m), Pressure (hPa), RTC Temperature (C), MPL Temperature (C)
10:36:20, 692, 15987.56, 55.61, 240.50, -16.50
10:37:21, 784, 16076.62, 53.43, 240.00, -16.75
10:38:21, 746, 16161.87, 51.36, 240.00, -17.06
10:39:22, 706, 16233.44, 49.58, 239.75, -17.31
10:40:22, 756, 16040.12, 47.42, 239.50, -17.56
10:41:23, 727, 16115.94, 45.57, 239.25, -17.75
10:42:24, 716, 16193.69, 43.72, 239.00, -18.00
10:43:24, 733, 16264.69, 42.03, 238.75, -18.19
10:44:25, 680, 16328.56, 40.48, 238.50, -18.37
10:45:25, 698, 16397.19, 38.87, 238.25, -18.56
10:46:26, 688, 16463.44, 37.29, 238.25, -18.75
10:47:26, 602, 16520.19, 35.96, 238.00, -18.94
10:48:27, 688, 16573.25, 34.72, 237.75, -19.06
10:49:28, 685, 16629.25, 33.39, 237.50, -19.25
10:50:28, 667, 16680.81, 32.22, 237.50, -19.37
10:51:29, 670, 16737.00, 30.92, 237.25, -19.44
10:52:29, 677, 16788.31, 29.74, 237.25, -19.56
10:53:30, 641, 16835.88, 28.63, 237.00, -19.69
10:54:31, 660, 16880.31, 27.60, 237.00, -19.81
10:55:31, 618, 16925.63, 26.58, 237.00, -19.87
10:56:32, 630, 16968.94, 25.60, 236.75, -19.94
10:57:32, 639, 17015.56, 24.53, 236.75, -20.00
10:58:33, 619, 17054.19, 23.64, 236.75, -20.06
10:59:33, 581, 17088.75, 22.90, 236.75, -20.12
11:0:34, 550, 17124.31, 22.12, 236.50, -20.19
11:1:35, 583, 17157.44, 21.35, 236.50, -20.19
11:2:35, 599, 17194.88, 20.50, 236.50, -20.19
11:3:36, 577, 17225.19, 19.82, 236.50, -20.25
11:4:36, 599, 17251.81, 19.23, 236.50, -20.25
11:5:37, 560, 17274.75, 18.72, 236.50, -20.25
11:6:37, 580, 17297.75, 18.21, 236.50, -20.19
11:7:38, 575, 17330.50, 17.45, 236.50, -20.19
11:8:39, 547, 17355.19, 16.94, 236.50, -20.12
11:9:39, 557, 17379.25, 16.39, 236.50, -20.12
11:10:40, 509, 17398.44, 15.99, 236.75, -20.06
11:11:40, 516, 17417.63, 15.56, 236.75, -20.00
11:12:41, 518, 17440.19, 15.06, 236.75, -19.94
11:13:42, 526, 17458.25, 14.63, 236.75, -19.87
11:14:42, 520, 17474.88, 14.31, 236.75, -19.81
11:15:43, 523, 17468.25, 14.48, 237.00, -19.69
11:16:43, 532, 17197.56, 20.51, 237.00, -19.62
11:17:44, 605, 16846.63, 28.44, 237.00, -19.56
11:18:44, 689, 16436.63, 38.01, 237.00, -19.50
11:19:45, 695, 16267.06, 48.79, 237.00, -19.44
11:20:46, 703, 15783.75, 60.81, 237.00, -19.56
11:21:46, 749, 15252.44, 74.57, 236.75, -19.62
11:22:47, 744, 14702.81, 89.32, 236.75, -19.75
11:23:47, 768, 14116.12, 105.81, 236.25, -20.00
11:24:48, 657, 13499.44, 124.03, 236.00, -20.25
11:25:48, 629, 12867.69, 143.70, 235.75, -20.50
11:26:49, 614, 12246.00, 164.03, 235.50, -20.81
11:27:50, 526, 11907.25, 185.56, 235.00, -21.19
11:28:50, 472, 11309.06, 207.52, 234.75, -21.50
11:29:51, 436, 10714.87, 230.53, 234.50, -21.87
11:30:51, 375, 10081.94, 256.58, 234.00, -22.19
11:31:52, 342, 9438.44, 284.73, 233.75, -22.50
11:32:53, 259, 8821.25, 313.55, 233.50, -22.81
11:33:53, 244, 8244.00, 342.23, 233.25, -23.12
11:34:54, 181, 7674.94, 372.27, 233.25, -23.37
11:35:54, 144, 7116.94, 403.49, 233.00, -23.62
11:36:55, 154, 6566.44, 436.25, 232.75, -23.81
11:37:55, 89, 6016.69, 470.80, 232.75, -24.00
11:38:56, 77, 5473.81, 507.11, 232.75, -24.06
11:39:57, 56, 4952.69, 543.88, 232.50, -24.19
