Time, Counts, Altitude (m), Pressure (hPa), RTC Temperature (C), MPL Temperature (C)
16:33:34, 17, 97.75, 1001.68, 20.50, 20.00
16:34:35, 9, 98.37, 1001.62, 20.50, 20.00
16:35:35, 14, 98.00, 1001.75, 20.50, 20.00
16:36:36, 23, 97.44, 1001.76, 20.50, 20.00
16:37:36, 18, 96.87, 1001.80, 20.50, 20.00
16:38:37, 21, 97.94, 1001.70, 20.50, 20.00
16:39:37, 18, 97.31, 1001.78, 20.50, 20.00
16:40:38, 19, 96.87, 1001.78, 20.50, 20.00
16:41:38, 25, 96.37, 1001.90, 20.50, 20.06
16:42:39, 12, 96.50, 1001.85, 20.50, 20.06
16:43:39, 16, 96.44, 1001.89, 20.50, 20.06
16:44:40, 19, 96.37, 1001.82, 20.50, 20.12
16:45:40, 22, 94.44, 1002.14, 20.50, 20.06
16:46:41, 23, 93.69, 1002.18, 20.50, 20.12
16:47:41, 14, 90.87, 1002.56, 20.50, 20.12
16:48:42, 14, 89.94, 1002.65, 20.50, 20.12
16:49:42, 28, 90.50, 1002.65, 20.50, 20.12
16:50:43, 14, 90.06, 1002.65, 20.50, 20.19
16:51:44, 20, 89.94, 1002.67, 20.50, 20.19
16:52:44, 26, 89.69, 1002.71, 20.50, 20.19
16:53:45, 19, 89.56, 1002.71, 20.50, 20.19
16:54:45, 26, 89.06, 1002.78, 20.50, 20.19
16:55:46, 13, 88.75, 1002.77, 20.50, 20.19
16:56:46, 15, 89.12, 1002.74, 20.50, 20.19
16:57:47, 15, 89.37, 1002.71, 20.50, 20.19
16:58:47, 10, 90.19, 1002.62, 20.50, 20.19
16:59:48, 17, 89.62, 1002.71, 20.50, 20.12
17:0:48, 20, 89.69, 1002.70, 20.50, 20.12
17:1:49, 21, 89.31, 1002.68, 20.50, 20.12
17:2:49, 11, 89.00, 1002.74, 20.50, 20.12
17:3:50, 17, 88.87, 1002.72, 20.50, 20.06
17:4:50, 19, 89.69, 1002.69, 20.50, 20.06
17:5:51, 21, 89.81, 1002.73, 20.50, 20.00
17:6:51, 18, 89.06, 1002.70, 20.25, 20.00
17:7:52, 14, 89.75, 1002.66, 20.25, 20.00
17:8:53, 15, 89.50, 1002.65, 20.25, 20.00
17:9:53, 11, 89.94, 1002.64, 20.25, 19.94
17:10:54, 25, 89.06, 1002.73, 20.25, 19.94
17:11:54, 17, 89.44, 1002.71, 20.25, 19.94
17:12:55, 20, 89.12, 1002.75, 20.25, 19.87
17:13:55, 16, 88.87, 1002.79, 20.25, 19.87
17:14:56, 14, 88.12, 1002.84, 20.25, 19.87
17:15:56, 19, 87.94, 1002.89, 20.25, 19.81
17:16:57, 14, 87.75, 1002.90, 20.25, 19.81
17:17:57, 15, 87.44, 1002.86, 20.25, 19.81
17:18:58, 19, 88.06, 1002.86, 20.25, 19.81
17:19:58, 17, 86.94, 1003.03, 20.25, 19.75
17:20:59, 21, 87.50, 1003.00, 20.25, 19.75
17:21:59, 19, 87.31, 1003.04, 20.25, 19.75
17:23:0, 17, 86.94, 1003.01, 20.25, 19.75
17:24:0, 21, 87.56, 1002.89, 20.25, 19.75
17:25:1, 12, 87.50, 1002.97, 20.25, 19.75
17:26:2, 22, 87.94, 1002.92, 20.25, 19.75
