Time, Counts, MPL Altitude (m), GPS Altitude (m), Pressure (hPa), RTC Temperature (C), MPL Temperature (C)
11:4:11, 32, 1457.81, REMOVED FOR THIS FLIGHT, 850.12, 12.75, 13.00
11:5:12, 28, 1457.88, REMOVED FOR THIS FLIGHT, 850.09, 13.00, 13.06
11:6:12, 24, 1457.75, REMOVED FOR THIS FLIGHT, 850.10, 13.00, 13.06
11:7:13, 39, 1457.63, REMOVED FOR THIS FLIGHT, 850.15, 13.25, 13.13
11:8:13, 38, 1457.94, REMOVED FOR THIS FLIGHT, 850.04, 13.25, 13.19
11:9:14, 41, 1457.94, REMOVED FOR THIS FLIGHT, 850.13, 13.25, 13.25
11:10:14, 31, 1457.94, REMOVED FOR THIS FLIGHT, 850.08, 13.50, 13.38
11:11:15, 27, 1457.88, REMOVED FOR THIS FLIGHT, 850.13, 13.50, 13.44
11:12:15, 37, 1457.63, REMOVED FOR THIS FLIGHT, 850.10, 13.50, 13.44
11:13:16, 27, 1457.81, REMOVED FOR THIS FLIGHT, 850.09, 13.50, 13.50
11:14:17, 40, 1458.00, REMOVED FOR THIS FLIGHT, 850.09, 13.50, 13.56
11:15:17, 34, 1458.25, REMOVED FOR THIS FLIGHT, 850.04, 13.50, 13.63
11:16:18, 31, 1458.31, REMOVED FOR THIS FLIGHT, 849.99, 13.75, 13.69
11:17:18, 26, 1459.56, REMOVED FOR THIS FLIGHT, 849.96, 13.75, 13.69
11:18:19, 37, 1459.69, REMOVED FOR THIS FLIGHT, 849.87, 13.75, 13.75
11:19:19, 33, 1459.88, REMOVED FOR THIS FLIGHT, 849.91, 13.75, 13.94
11:20:20, 31, 1459.94, REMOVED FOR THIS FLIGHT, 849.89, 14.00, 14.06
11:21:20, 24, 1466.44, REMOVED FOR THIS FLIGHT, 849.18, 14.00, 14.19
11:22:21, 25, 1477.00, REMOVED FOR THIS FLIGHT, 847.99, 14.25, 14.38
11:23:21, 27, 1773.69, REMOVED FOR THIS FLIGHT, 817.47, 14.50, 14.50
11:24:22, 22, 2110.75, REMOVED FOR THIS FLIGHT, 784.02, 14.50, 14.69
11:25:22, 34, 2403.50, REMOVED FOR THIS FLIGHT, 755.84, 14.75, 14.75
11:26:23, 25, 2698.69, REMOVED FOR THIS FLIGHT, 728.30, 14.75, 14.81
11:27:23, 28, 3027.69, REMOVED FOR THIS FLIGHT, 698.56, 14.75, 14.88
11:28:24, 34, 3319.19, REMOVED FOR THIS FLIGHT, 673.07, 14.75, 14.94
11:29:24, 28, 3620.06, REMOVED FOR THIS FLIGHT, 647.54, 14.75, 14.94
11:30:25, 37, 3931.19, REMOVED FOR THIS FLIGHT, 621.90, 14.75, 14.94
11:31:26, 31, 4244.81, REMOVED FOR THIS FLIGHT, 596.91, 14.75, 14.94
11:32:26, 65, 4589.75, REMOVED FOR THIS FLIGHT, 570.39, 14.75, 14.88
11:33:27, 53, 4902.44, REMOVED FOR THIS FLIGHT, 547.21, 14.50, 14.81
11:34:27, 64, 5262.12, REMOVED FOR THIS FLIGHT, 521.36, 14.50, 14.69
11:35:28, 75, 5598.94, REMOVED FOR THIS FLIGHT, 498.09, 14.25, 14.56
11:36:28, 91, 5933.25, REMOVED FOR THIS FLIGHT, 475.91, 14.00, 14.44
11:37:29, 86, 6245.25, REMOVED FOR THIS FLIGHT, 455.72, 13.75, 14.25
11:38:29, 104, 6540.94, REMOVED FOR THIS FLIGHT, 437.41, 13.50, 14.00
11:39:30, 115, 6851.94, REMOVED FOR THIS FLIGHT, 418.67, 13.25, 13.75
11:40:30, 117, 7164.62, REMOVED FOR THIS FLIGHT, 400.41, 12.75, 13.50
11:41:31, 123, 7475.62, REMOVED FOR THIS FLIGHT, 382.83, 12.50, 13.19
11:42:31, 161, 7791.81, REMOVED FOR THIS FLIGHT, 365.67, 12.00, 12.88
11:43:32, 171, 8086.37, REMOVED FOR THIS FLIGHT, 350.14, 11.75, 12.50
11:44:32, 196, 8381.50, REMOVED FOR THIS FLIGHT, 335.00, 11.25, 12.19
11:45:33, 218, 8696.62, REMOVED FOR THIS FLIGHT, 319.34, 11.25, 11.75
11:46:33, 223, 8994.25, REMOVED FOR THIS FLIGHT, 305.07, 10.75, 11.31
11:47:34, 238, 9302.75, REMOVED FOR THIS FLIGHT, 290.67, 10.00, 10.88
11:48:35, 266, 9584.44, REMOVED FOR THIS FLIGHT, 277.93, 9.50, 10.38
11:49:35, 250, 9873.56, REMOVED FOR THIS FLIGHT, 265.25, 9.00, 9.81
11:50:36, 308, 10110.37, REMOVED FOR THIS FLIGHT, 255.14, 8.25, 9.25
