Time, Counts, MPL Altitude (m), GPS Altitude (m), Pressure (hPa), RTC Temperature (C), MPL Temperature (C)
12:20:43, 10, 340.81, REMOVED FOR THIS FLIGHT, 973.10, 19.25, 19.25
12:21:44, 12, 340.50, REMOVED FOR THIS FLIGHT, 973.15, 19.50, 19.37
12:22:44, 20, 340.75, REMOVED FOR THIS FLIGHT, 973.16, 19.50, 19.50
12:23:45, 15, 340.19, REMOVED FOR THIS FLIGHT, 973.15, 19.75, 19.62
12:24:45, 13, 339.88, REMOVED FOR THIS FLIGHT, 973.22, 19.75, 19.75
12:25:46, 19, 339.44, REMOVED FOR THIS FLIGHT, 973.23, 20.00, 19.87
12:26:47, 10, 338.75, REMOVED FOR THIS FLIGHT, 973.38, 20.00, 20.00
12:27:47, 19, 338.94, REMOVED FOR THIS FLIGHT, 973.35, 20.25, 20.12
12:28:48, 16, 338.25, REMOVED FOR THIS FLIGHT, 973.39, 20.25, 20.25
12:29:48, 12, 338.63, REMOVED FOR THIS FLIGHT, 973.36, 20.50, 20.37
12:30:49, 18, 339.38, REMOVED FOR THIS FLIGHT, 973.32, 20.50, 20.50
12:31:49, 19, 339.38, REMOVED FOR THIS FLIGHT, 973.31, 20.75, 20.62
12:32:50, 16, 339.00, REMOVED FOR THIS FLIGHT, 973.30, 20.75, 20.75
12:33:50, 22, 339.13, REMOVED FOR THIS FLIGHT, 973.26, 21.00, 20.81
12:34:51, 17, 340.25, REMOVED FOR THIS FLIGHT, 973.22, 21.00, 20.94
12:35:51, 11, 339.63, REMOVED FOR THIS FLIGHT, 973.17, 21.25, 21.06
12:36:52, 20, 339.94, REMOVED FOR THIS FLIGHT, 973.20, 21.25, 21.19
12:37:52, 11, 340.13, REMOVED FOR THIS FLIGHT, 973.25, 21.50, 21.31
12:38:53, 19, 339.88, REMOVED FOR THIS FLIGHT, 973.27, 21.50, 21.44
12:39:53, 9, 339.69, REMOVED FOR THIS FLIGHT, 973.27, 21.50, 21.56
12:40:54, 12, 340.06, REMOVED FOR THIS FLIGHT, 973.22, 21.75, 21.69
12:41:54, 17, 340.06, REMOVED FOR THIS FLIGHT, 973.18, 21.75, 21.81
12:42:55, 16, 339.88, REMOVED FOR THIS FLIGHT, 973.22, 22.00, 21.94
12:43:56, 18, 336.63, REMOVED FOR THIS FLIGHT, 973.59, 22.00, 22.06
12:44:56, 19, 336.88, REMOVED FOR THIS FLIGHT, 973.58, 22.25, 22.19
12:45:57, 19, 336.56, REMOVED FOR THIS FLIGHT, 973.60, 22.25, 22.31
12:46:57, 15, 336.56, REMOVED FOR THIS FLIGHT, 973.62, 22.50, 22.37
12:47:58, 16, 337.06, REMOVED FOR THIS FLIGHT, 973.58, 22.50, 22.50
12:48:58, 21, 337.00, REMOVED FOR THIS FLIGHT, 973.59, 22.50, 22.50
12:49:59, 17, 337.13, REMOVED FOR THIS FLIGHT, 973.59, 22.50, 22.56
12:50:59, 19, 337.06, REMOVED FOR THIS FLIGHT, 973.57, 22.50, 22.56
12:52:0, 17, 337.31, REMOVED FOR THIS FLIGHT, 973.51, 22.50, 22.56
12:53:0, 17, 338.06, REMOVED FOR THIS FLIGHT, 973.47, 22.50, 22.50
12:54:1, 20, 337.69, REMOVED FOR THIS FLIGHT, 973.46, 22.50, 22.44
12:55:1, 12, 338.31, REMOVED FOR THIS FLIGHT, 973.42, 22.50, 22.44
12:56:2, 19, 338.19, REMOVED FOR THIS FLIGHT, 973.41, 22.25, 22.37
12:57:2, 17, 339.00, REMOVED FOR THIS FLIGHT, 973.33, 22.25, 22.31
12:58:3, 22, 338.81, REMOVED FOR THIS FLIGHT, 973.32, 22.25, 22.31
12:59:3, 14, 339.19, REMOVED FOR THIS FLIGHT, 973.28, 22.25, 22.25
13:0:4, 19, 339.56, REMOVED FOR THIS FLIGHT, 973.29, 22.25, 22.19
13:1:4, 18, 339.69, REMOVED FOR THIS FLIGHT, 973.28, 22.25, 22.12
13:2:5, 18, 339.25, REMOVED FOR THIS FLIGHT, 973.32, 22.25, 22.12
13:3:6, 14, 339.44, REMOVED FOR THIS FLIGHT, 973.28, 22.25, 22.06
13:4:6, 16, 339.19, REMOVED FOR THIS FLIGHT, 973.35, 22.25, 22.00
13:5:7, 15, 339.63, REMOVED FOR THIS FLIGHT, 973.32, 22.25, 21.94
