Time, Counts, MPL Altitude (m), GPS Altitude (m), Pressure (hPa), RTC Temperature (C), MPL Temperature (C)
8:44:43, 161, 8081.56, REMOVED FOR THIS FLIGHT, 350.37, 11.25, 11.19
8:45:44, 180, 8357.00, REMOVED FOR THIS FLIGHT, 336.23, 10.75, 10.69
8:46:44, 206, 8599.75, REMOVED FOR THIS FLIGHT, 324.12, 10.00, 10.13
8:47:45, 225, 8820.69, REMOVED FOR THIS FLIGHT, 313.38, 9.50, 9.56
8:48:45, 235, 9086.81, REMOVED FOR THIS FLIGHT, 300.74, 8.75, 9.00
8:49:46, 261, 9356.87, REMOVED FOR THIS FLIGHT, 288.20, 8.25, 8.38
8:50:46, 272, 9590.37, REMOVED FOR THIS FLIGHT, 277.71, 7.50, 7.81
8:51:47, 295, 9796.69, REMOVED FOR THIS FLIGHT, 268.62, 6.75, 7.19
8:52:47, 316, 10002.12, REMOVED FOR THIS FLIGHT, 259.75, 6.25, 6.56
8:53:48, 320, 10214.12, REMOVED FOR THIS FLIGHT, 250.76, 6.25, 5.94
8:54:49, 341, 10435.56, REMOVED FOR THIS FLIGHT, 241.57, 5.50, 5.31
8:55:49, 360, 10630.12, REMOVED FOR THIS FLIGHT, 233.70, 4.75, 4.69
8:56:50, 356, 10826.31, REMOVED FOR THIS FLIGHT, 225.89, 4.25, 4.06
8:57:50, 382, 11026.25, REMOVED FOR THIS FLIGHT, 218.08, 3.50, 3.44
8:58:51, 379, 11214.31, REMOVED FOR THIS FLIGHT, 210.84, 3.00, 2.81
8:59:51, 452, 11416.37, REMOVED FOR THIS FLIGHT, 203.25, 2.25, 2.25
9:0:52, 459, 11613.25, REMOVED FOR THIS FLIGHT, 195.95, 1.75, 1.63
9:1:52, 419, 11863.19, REMOVED FOR THIS FLIGHT, 186.95, 1.00, 1.00
9:2:53, 487, 12069.87, REMOVED FOR THIS FLIGHT, 179.61, 0.50, 0.37
9:3:54, 481, 12264.81, REMOVED FOR THIS FLIGHT, 172.81, 255.75, -0.25
9:4:54, 508, 12162.00, REMOVED FOR THIS FLIGHT, 166.72, 255.00, -0.88
9:5:55, 533, 12342.12, REMOVED FOR THIS FLIGHT, 160.66, 254.50, -1.50
9:6:55, 560, 12531.31, REMOVED FOR THIS FLIGHT, 154.34, 253.75, -2.13
9:7:56, 560, 12710.25, REMOVED FOR THIS FLIGHT, 148.53, 253.00, -2.75
9:8:56, 543, 12894.75, REMOVED FOR THIS FLIGHT, 142.61, 252.50, -3.38
9:9:57, 604, 13095.94, REMOVED FOR THIS FLIGHT, 136.27, 251.75, -3.94
9:10:58, 624, 13269.19, REMOVED FOR THIS FLIGHT, 130.88, 251.25, -4.56
9:11:58, 641, 13447.69, REMOVED FOR THIS FLIGHT, 125.41, 250.50, -5.19
9:12:59, 617, 13620.44, REMOVED FOR THIS FLIGHT, 120.21, 250.50, -5.81
9:13:59, 671, 13799.94, REMOVED FOR THIS FLIGHT, 114.91, 249.75, -6.38
9:15:0, 632, 13965.44, REMOVED FOR THIS FLIGHT, 110.00, 249.25, -7.00
9:16:0, 664, 14116.75, REMOVED FOR THIS FLIGHT, 105.64, 248.50, -7.63
9:17:1, 680, 14267.06, REMOVED FOR THIS FLIGHT, 101.36, 248.00, -8.19
9:18:2, 722, 14424.19, REMOVED FOR THIS FLIGHT, 96.92, 247.25, -8.75
9:19:2, 749, 14573.31, REMOVED FOR THIS FLIGHT, 92.76, 246.75, -9.38
9:20:3, 734, 14715.62, REMOVED FOR THIS FLIGHT, 88.86, 246.00, -9.94
9:21:3, 722, 14877.62, REMOVED FOR THIS FLIGHT, 84.42, 245.50, -10.50
9:22:4, 726, 15003.06, REMOVED FOR THIS FLIGHT, 81.05, 245.00, -11.06
9:23:4, 708, 15125.62, REMOVED FOR THIS FLIGHT, 77.79, 244.50, -11.56
9:24:5, 751, 15262.19, REMOVED FOR THIS FLIGHT, 74.19, 244.00, -12.13
9:25:6, 718, 15388.87, REMOVED FOR THIS FLIGHT, 70.86, 243.50, -12.63
9:26:6, 701, 15519.25, REMOVED FOR THIS FLIGHT, 67.47, 243.00, -13.13
9:27:7, 749, 15633.25, REMOVED FOR THIS FLIGHT, 64.56, 242.50, -13.56
9:28:7, 718, 15735.12, REMOVED FOR THIS FLIGHT, 61.96, 242.00, -14.06
9:29:8, 694, 15846.00, REMOVED FOR THIS FLIGHT, 59.18, 241.75, -14.50
9:30:8, 711, 15936.00, REMOVED FOR THIS FLIGHT, 56.90, 241.25, -14.88
9:31:9, 713, 16028.94, REMOVED FOR THIS FLIGHT, 54.61, 241.25, -15.31
9:32:10, 678, 16127.25, REMOVED FOR THIS FLIGHT, 52.18, 240.75, -15.69
9:33:10, 732, 16219.56, REMOVED FOR THIS FLIGHT, 49.90, 240.50, -16.06
9:34:11, 758, 16032.44, REMOVED FOR THIS FLIGHT, 47.61, 240.25, -16.44
9:35:11, 680, 16115.06, REMOVED FOR THIS FLIGHT, 45.62, 239.75, -16.75
9:36:12, 673, 16199.00, REMOVED FOR THIS FLIGHT, 43.60, 239.50, -17.06
9:37:13, 663, 16274.50, REMOVED FOR THIS FLIGHT, 41.78, 239.25, -17.31
9:38:13, 657, 16352.37, REMOVED FOR THIS FLIGHT, 39.95, 239.00, -17.62
9:39:14, 671, 16426.38, REMOVED FOR THIS FLIGHT, 38.16, 238.75, -17.87
9:40:14, 671, 16495.81, REMOVED FOR THIS FLIGHT, 36.54, 238.50, -18.06
9:41:15, 638, 16559.25, REMOVED FOR THIS FLIGHT, 35.04, 238.25, -18.31
9:42:15, 672, 16624.31, REMOVED FOR THIS FLIGHT, 33.54, 238.00, -18.50
9:43:16, 613, 16679.25, REMOVED FOR THIS FLIGHT, 32.25, 238.00, -18.69
9:44:17, 638, 16742.69, REMOVED FOR THIS FLIGHT, 30.79, 237.75, -18.87
9:45:17, 611, 16798.38, REMOVED FOR THIS FLIGHT, 29.53, 237.50, -19.06
9:46:18, 607, 16850.63, REMOVED FOR THIS FLIGHT, 28.29, 237.50, -19.19
9:47:18, 565, 16902.50, REMOVED FOR THIS FLIGHT, 27.09, 237.25, -19.31
9:48:19, 621, 16950.63, REMOVED FOR THIS FLIGHT, 26.02, 237.25, -19.44
9:49:19, 611, 17002.88, REMOVED FOR THIS FLIGHT, 24.85, 237.00, -19.50
9:50:20, 632, 17048.06, REMOVED FOR THIS FLIGHT, 23.83, 237.00, -19.62
9:51:21, 555, 17086.19, REMOVED FOR THIS FLIGHT, 22.94, 237.00, -19.69
9:52:21, 611, 17120.38, REMOVED FOR THIS FLIGHT, 22.19, 237.00, -19.75
9:53:22, 571, 17161.44, REMOVED FOR THIS FLIGHT, 21.25, 237.00, -19.75
9:54:22, 577, 17201.88, REMOVED FOR THIS FLIGHT, 20.37, 237.00, -19.75
9:55:23, 611, 17235.31, REMOVED FOR THIS FLIGHT, 19.61, 237.00, -19.81
9:56:23, 535, 17264.25, REMOVED FOR THIS FLIGHT, 18.97, 237.00, -19.81
9:57:24, 545, 17292.13, REMOVED FOR THIS FLIGHT, 18.31, 237.00, -19.75
9:58:25, 566, 17327.75, REMOVED FOR THIS FLIGHT, 17.53, 237.00, -19.75
9:59:25, 566, 17351.19, REMOVED FOR THIS FLIGHT, 17.00, 237.00, -19.75
10:0:26, 540, 17377.81, REMOVED FOR THIS FLIGHT, 16.44, 237.00, -19.69
10:1:26, 514, 17400.13, REMOVED FOR THIS FLIGHT, 15.94, 237.00, -19.62
10:2:27, 500, 17427.94, REMOVED FOR THIS FLIGHT, 15.33, 237.00, -19.62
10:3:28, 454, 17452.88, REMOVED FOR THIS FLIGHT, 14.79, 237.00, -19.56
10:4:28, 508, 17473.75, REMOVED FOR THIS FLIGHT, 14.31, 237.00, -19.50
10:5:29, 520, 17441.19, REMOVED FOR THIS FLIGHT, 15.07, 237.25, -19.37
10:6:29, 549, 17154.50, REMOVED FOR THIS FLIGHT, 21.45, 237.25, -19.31
10:7:30, 623, 16800.63, REMOVED FOR THIS FLIGHT, 29.54, 237.50, -19.19
10:8:30, 639, 16389.94, REMOVED FOR THIS FLIGHT, 39.11, 237.50, -19.19
10:9:31, 646, 16221.25, REMOVED FOR THIS FLIGHT, 49.93, 237.50, -19.12
10:10:32, 732, 15732.31, REMOVED FOR THIS FLIGHT, 62.14, 237.50, -19.19
10:11:32, 736, 15194.75, REMOVED FOR THIS FLIGHT, 76.05, 237.25, -19.25
10:12:33, 732, 14635.44, REMOVED FOR THIS FLIGHT, 91.18, 237.00, -19.37
10:13:33, 680, 14052.81, REMOVED FOR THIS FLIGHT, 107.66, 236.75, -19.62
10:14:34, 638, 13460.94, REMOVED FOR THIS FLIGHT, 125.16, 236.25, -19.87
10:15:34, 604, 12844.19, REMOVED FOR THIS FLIGHT, 144.45, 236.00, -20.19
10:16:35, 587, 12231.31, REMOVED FOR THIS FLIGHT, 164.57, 235.50, -20.56
10:17:36, 485, 11895.25, REMOVED FOR THIS FLIGHT, 185.97, 235.00, -20.94
10:18:36, 456, 11273.50, REMOVED FOR THIS FLIGHT, 208.79, 234.50, -21.37
10:19:37, 387, 10652.44, REMOVED FOR THIS FLIGHT, 233.06, 234.25, -21.81
10:20:37, 343, 10044.06, REMOVED FOR THIS FLIGHT, 258.16, 233.75, -22.19
10:21:38, 299, 9455.87, REMOVED FOR THIS FLIGHT, 283.96, 233.50, -22.56
10:22:39, 249, 8876.37, REMOVED FOR THIS FLIGHT, 310.95, 233.25, -22.94
10:23:39, 217, 8306.44, REMOVED FOR THIS FLIGHT, 339.08, 233.00, -23.25
10:24:40, 183, 7749.12, REMOVED FOR THIS FLIGHT, 368.25, 232.75, -23.50
10:25:40, 152, 7195.69, REMOVED FOR THIS FLIGHT, 399.01, 232.75, -23.75
10:26:41, 113, 6653.87, REMOVED FOR THIS FLIGHT, 430.90, 232.50, -23.94
10:27:41, 111, 6121.25, REMOVED FOR THIS FLIGHT, 464.07, 232.50, -24.00
10:28:42, 85, 5608.94, REMOVED FOR THIS FLIGHT, 497.86, 232.50, -24.06
10:29:43, 80, 5114.19, REMOVED FOR THIS FLIGHT, 532.24, 232.50, -24.12
10:30:43, 61, 4629.44, REMOVED FOR THIS FLIGHT, 567.71, 232.75, -24.00
10:31:44, 48, 4156.19, REMOVED FOR THIS FLIGHT, 604.33, 233.00, -23.87
10:32:44, 51, 3679.75, REMOVED FOR THIS FLIGHT, 642.87, 233.25, -23.62
